,Inches,CPU_Frequency (GHz),RAM (GB),Weight (kg),Price (SAR),Company_Encoded,Base_Product_Encoded,TypeName_Encoded,Resolution_Width,Resolution_Height,Pixel_Area,IPS_Panel,Retina_Display,Touchscreen,CPU_Company_Intel,CPU_Company_Samsung,CPU_Family_Grouped_A6,CPU_Family_Grouped_A9,CPU_Family_Grouped_Celeron,CPU_Family_Grouped_Core M,CPU_Family_Grouped_Core i3,CPU_Family_Grouped_Core i5,CPU_Family_Grouped_Core i7,CPU_Family_Grouped_Other,CPU_Family_Grouped_Pentium,Primary_Storage_Capacity,Secondary_Storage_Capacity,Total_Storage_GB,Primary_Storage_Type_HDD,Primary_Storage_Type_Hybrid,Primary_Storage_Type_SSD,GPU_Company_Grouped_Intel,GPU_Company_Grouped_Nvidia,GPU_Company_Grouped_Other,GPU_Company_Encoded,GPU_Series_Frequency,OpSys_Encoded
127,14.0,1.5,4,1.65,1103.6203,4461.6040552631575,1,2,1366,768,1049088,0,0,0,False,False,False,False,False,False,False,False,False,True,False,64.0,0.0,64.0,False,False,True,False,False,False,3088.7654103448276,167,6456.205009433963
128,17.3,1.8,16,2.8,5542.12,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,262144.0,0.0,262144.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
129,17.3,1.6,8,2.5,3684.1600000000003,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
130,15.6,2.5,8,2.36,2536.7903,4760.9237274914085,135,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,False,True,False,False,False,1024.0,0.0,1024.0,True,False,False,False,False,False,3088.7654103448276,167,4687.31573759542
131,15.6,2.0,4,2.2,1782.5300000000002,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,False,False,False,3088.7654103448276,167,4687.31573759542
132,14.0,1.8,8,1.6,3509.48,2514.853888118812,7,3,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
133,15.6,2.7,4,2.2,2270.84,2514.853888118812,61,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,21,4687.31573759542
134,15.6,2.7,8,2.05,2374.06,4288.849216791045,1,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,False,False,True,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
135,14.0,1.8,8,1.63,3922.36,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
136,15.6,1.1,4,1.9,1001.8692000000001,4342.632991695502,2,2,1366,768,1049088,0,0,0,True,False,False,False,True,False,False,False,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,2353.180654248366
137,17.3,2.5,8,3.0,3723.86,4461.6040552631575,1,5,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,131072.0,0.0,131072.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
138,15.6,2.5,4,2.2,1981.0300000000002,4342.632991695502,99,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,131,2353.180654248366
139,13.3,2.5,4,1.32,2775.03,4288.849216791045,8,2,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
140,17.3,2.7,4,3.0,2600.35,2514.853888118812,61,2,1920,1080,2073600,1,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,21,4687.31573759542
141,14.0,1.6,8,1.75,4430.5994,4342.632991695502,99,2,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
142,15.6,2.8,8,2.4,3449.9300000000003,4342.632991695502,23,5,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,236,2353.180654248366
143,15.6,2.3,4,2.1,2389.94,5033.215625,13,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,False,True,False,False,False,500.0,0.0,500.0,True,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
144,15.6,2.5,4,1.86,1464.93,4288.849216791045,4,2,1366,768,1049088,0,0,0,False,False,True,False,False,False,False,False,False,False,False,256.0,0.0,256.0,False,False,True,False,False,False,3088.7654103448276,167,4687.31573759542
145,14.0,1.8,8,1.25,4363.030000000001,4461.6040552631575,25,3,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
146,12.5,1.2,8,0.97,7995.580000000001,4288.849216791045,55,3,3840,2160,8294400,1,0,1,True,False,False,False,False,True,False,False,False,False,False,512.0,0.0,512.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
147,15.6,1.1,4,2.0,1365.68,4461.6040552631575,3,2,1920,1080,2073600,0,0,0,True,False,False,False,True,False,False,False,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
148,17.3,2.8,16,2.9,8055.13,6863.765348148148,2,5,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,262144.0,0.0,262144.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
149,15.6,2.0,4,2.1,1774.5900000000001,2514.853888118812,61,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,True,False,False,4050.8598208806816,621,4687.31573759542
150,15.6,2.8,16,2.56,4959.5622,4760.9237274914085,135,5,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,512.0,0.0,512.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
151,15.6,2.8,8,2.62,3569.03,4760.9237274914085,135,5,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,0.0,False,True,False,False,True,False,5942.078051010101,236,4687.31573759542
152,15.6,2.5,4,1.9,1977.0600000000002,4342.632991695502,1,2,1366,768,1049088,0,0,0,True,False,False,False,False,False,False,True,False,False,False,128.0,0.0,128.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
153,17.3,2.8,16,2.8,7503.3,6863.765348148148,2,5,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,262144.0,0.0,262144.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
154,14.0,2.7,4,1.48,4295.54,4288.849216791045,55,3,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
